,ID,instrument,granularity,timestamp,volume,open,high,low,close,complete,dateYYYMMDD,timeHHMMSS,year,month,day,hour,minute,second
480,EUR_USD|H1|20180924|040000,EUR_USD,H1,2018-09-24 04:00:00,236,1.17429,1.17454,1.17401,1.17441,True,20180924,040000,2018,09,24,04,00,00
481,EUR_USD|H1|20180924|050000,EUR_USD,H1,2018-09-24 05:00:00,1239,1.17441,1.17493,1.17330,1.17333,True,20180924,050000,2018,09,24,05,00,00
482,EUR_USD|H1|20180924|060000,EUR_USD,H1,2018-09-24 06:00:00,2171,1.17333,1.17389,1.17248,1.17369,True,20180924,060000,2018,09,24,06,00,00
483,EUR_USD|H1|20180924|070000,EUR_USD,H1,2018-09-24 07:00:00,2809,1.17369,1.17497,1.17354,1.17414,True,20180924,070000,2018,09,24,07,00,00
484,EUR_USD|H1|20180924|080000,EUR_USD,H1,2018-09-24 08:00:00,3355,1.17414,1.17692,1.17403,1.17684,True,20180924,080000,2018,09,24,08,00,00
485,EUR_USD|H1|20180924|090000,EUR_USD,H1,2018-09-24 09:00:00,1918,1.17684,1.17744,1.17641,1.17702,True,20180924,090000,2018,09,24,09,00,00
486,EUR_USD|H1|20180924|100000,EUR_USD,H1,2018-09-24 10:00:00,1830,1.17702,1.17758,1.17632,1.17646,True,20180924,100000,2018,09,24,10,00,00
487,EUR_USD|H1|20180924|110000,EUR_USD,H1,2018-09-24 11:00:00,1701,1.17646,1.17717,1.17631,1.17641,True,20180924,110000,2018,09,24,11,00,00
488,EUR_USD|H1|20180924|120000,EUR_USD,H1,2018-09-24 12:00:00,2208,1.17641,1.17739,1.17526,1.17526,True,20180924,120000,2018,09,24,12,00,00
489,EUR_USD|H1|20180924|130000,EUR_USD,H1,2018-09-24 13:00:00,7729,1.17526,1.18157,1.17502,1.17993,True,20180924,130000,2018,09,24,13,00,00
490,EUR_USD|H1|20180924|140000,EUR_USD,H1,2018-09-24 14:00:00,4198,1.17993,1.18011,1.17763,1.17885,True,20180924,140000,2018,09,24,14,00,00
491,EUR_USD|H1|20180924|150000,EUR_USD,H1,2018-09-24 15:00:00,3426,1.17885,1.17923,1.17557,1.17735,True,20180924,150000,2018,09,24,15,00,00
